x,y,u,v,p,area
1.06,0.376,0.313,-0.000492,0.0539,0.019801980198019802
0.961,0.27399999999999997,0.875,-0.00472,0.146,0.019801980198019802
0.37200000000000005,0.136,0.7809999999999999,0.184,0.818,0.019801980198019802
0.381,0.331,0.845,-0.13699999999999998,0.8,0.019801980198019802
0.121,0.312,0.983,0.365,2.23,0.019801980198019802
0.888,0.0239,0.23399999999999999,0.000231,0.218,0.019801980198019802
0.535,0.243,0.9279999999999999,-0.0353,0.594,0.019801980198019802
0.615,0.0363,0.341,-0.000496,0.498,0.019801980198019802
0.49700000000000005,0.0732,0.63,0.0251,0.621,0.019801980198019802
0.983,0.34600000000000003,0.541,-0.0028399999999999996,0.125,0.019801980198019802
0.488,0.163,0.887,0.024,0.659,0.019801980198019802
0.659,0.0818,0.6629999999999999,-0.0026,0.455,0.019801980198019802
0.94,0.0694,0.586,0.00046699999999999997,0.16399999999999998,0.019801980198019802
0.78,0.32,0.7020000000000001,0.00101,0.33,0.019801980198019802
0.665,0.0288,0.278,-0.000653,0.449,0.019801980198019802
0.335,0.0484,0.7120000000000001,0.0908,0.888,0.019801980198019802
0.0347,0.35,0.528,0.0568,2.42,0.019801980198019802
0.97,0.10099999999999999,0.759,-0.000531,0.133,0.019801980198019802
0.423,0.3,0.865,-0.132,0.737,0.019801980198019802
0.42700000000000005,0.132,0.831,0.10300000000000001,0.737,0.019801980198019802
0.114,0.0161,0.27399999999999997,-0.0192,2.34,0.019801980198019802
0.235,0.247,0.209,-0.11599999999999999,0.473,0.019801980198019802
0.594,0.22399999999999998,0.956,-0.0123,0.526,0.019801980198019802
0.8320000000000001,0.139,0.889,0.0031100000000000004,0.276,0.019801980198019802
0.563,0.231,0.946,-0.0213,0.562,0.019801980198019802
0.28,0.37799999999999995,0.6729999999999999,-0.0423,1.12,0.019801980198019802
0.17600000000000002,0.113,1.11,-0.312,1.66,0.019801980198019802
0.645,0.0852,0.6809999999999999,-0.00251,0.46799999999999997,0.019801980198019802
0.0618,0.31,0.794,0.195,2.45,0.019801980198019802
0.8740000000000001,0.195,0.9640000000000001,0.00101,0.233,0.019801980198019802
0.868,0.303,0.7759999999999999,-0.00207,0.24100000000000002,0.019801980198019802
1.08,0.166,0.948,-0.0037700000000000003,0.0268,0.019801980198019802
0.17300000000000001,0.34,1.12,0.18100000000000002,1.81,0.019801980198019802
0.8240000000000001,0.225,0.955,0.0011099999999999999,0.284,0.019801980198019802
0.867,0.0434,0.401,0.0007059999999999999,0.23800000000000002,0.019801980198019802
0.29600000000000004,0.0742,1.02,0.19399999999999998,0.992,0.019801980198019802
0.207,0.34600000000000003,1.16,0.0522,1.54,0.019801980198019802
0.486,0.353,0.545,-0.0279,0.628,0.019801980198019802
0.657,0.213,0.963,-0.00256,0.457,0.019801980198019802
